epsilon,m,variance_each,total_variance,family,expected_positive_max,explicit_upper_bound,quadrature_absolute_difference,passed
1/4,16,1/16,1,independent,0.44149813082744355,1.1315590353548781,1.1102230246251565e-16,true
1/8,64,1/64,1,independent,0.29296668313492996,0.6929355626138504,5.551115123125783e-17,true
1/16,256,1/256,1,independent,0.17667895493370123,0.4000665336061713,5.551115123125783e-17,true
1/32,1024,1/1024,1,independent,0.10150748754298165,0.22364399116652575,4.163336342344337e-17,true
1/64,4096,1/4096,1,independent,0.0566575340276429,0.12249485881239226,1.3877787807814457e-17,true
