design,regime,p,k,variance_0,variance_1,variance_2,variance_3,variance_4,variance_5,variance_6,variance_7,active_count_at_0.02,effective_support,train_objective,validation_objective,validation_standard_error,optimizer_success,optimizer_iterations,optimizer_message
fixed_cardinality,independent,0.125,1,9.999999604000014e-9,0.15543745274351467,0.557224956542425,9.999999604000014e-9,0.28342665000814926,9.999999604000014e-9,0.003910900705912628,9.999999604000014e-9,3,2.409601307074388,0.000025559017607257412,0.0000026887573475138923,0.0006905512118875856,true,18,Optimization terminated successfully
fixed_cardinality,independent,0.25,2,0.12578967483208311,0.1246757581344595,0.12499509191041974,0.12352945574339387,0.12476660996581831,0.12682114114914655,0.12686342893248312,0.12255883933219584,8,7.998995716334581,0.1994686006453823,0.1994740396217008,0.0007539641302939296,true,11,Optimization terminated successfully
fixed_cardinality,independent,0.375,3,0.12596602411395916,0.12401715748305299,0.12597416033259046,0.1235081018667013,0.12421933397881785,0.12728504601977045,0.12690392595270278,0.12212625025240495,8,7.998541822519099,0.29921903892225954,0.2992068331399349,0.0008334157221865526,true,13,Optimization terminated successfully
fixed_cardinality,independent,0.5,4,0.12659203393598423,0.12480400772276419,0.1261941918033367,0.12232770932190047,0.12299232974229891,0.1296931618521696,0.12767966392609578,0.11971690169545016,8,7.995376213104316,0.3639726264869365,0.36392827914272585,0.0009093343987381097,true,9,Optimization terminated successfully
fixed_cardinality,independent,0.625,5,0.14435116182907776,0.14234772930484282,0.14471159311278717,0.136161471097598,0.1407050004210418,0.14867442579707713,0.14304860843757544,9.999999901000002e-9,7,6.995628555503411,0.4118752545461676,0.41186951692511636,0.0010554349164731138,true,12,Optimization terminated successfully
fixed_cardinality,independent,0.75,6,0.1673769157450194,0.16450241625662546,0.17317234945828813,0.14904468008185548,0.0040841325646069,0.17494126227083193,0.16687823362277282,9.999999901000847e-9,6,6.033236142353536,0.45239363294960455,0.4522187172717778,0.0012431635577210274,true,33,Optimization terminated successfully
fixed_cardinality,independent,0.875,7,0.1983615141908666,0.17158167228412777,0.2087618681101465,0.0037090998583862475,0.0037142905546619534,0.2096090307349446,0.20426251426686634,9.999999900999696e-9,5,5.049083350293613,0.4894422358773414,0.4892860495518835,0.001487801788960077,true,31,Optimization terminated successfully
fixed_cardinality,independent,1,8,0.24148324924863135,0.001097309327817324,0.24014480269650526,9.999999901000007e-9,0.01023094299314873,0.2580151736417563,0.24696362176358827,0.0020648903285528067,4,4.104135270137342,0.5249367117142141,0.5244545508842997,0.001803262767351223,true,113,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.125,1,0.12585347184369028,0.1245197639094975,0.1253479591225571,0.12337211185124235,0.12457958305194661,0.12713215556966287,0.12712401048914804,0.12207094416225524,8,7.998621436782165,0.09157610786888105,0.09157173559371852,0.0007045319141110506,true,10,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.25,2,0.12604775617773614,0.12422094355155824,0.12565045020364968,0.12323198096624267,0.12402250372913057,0.12773866226186953,0.12746230442205275,0.12162539868776041,8,7.998006234882862,0.18573653721526376,0.18572786625410365,0.0007477324017959974,true,8,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.375,3,0.1263181359744922,0.12441609600184823,0.12590121366725357,0.12277908957471763,0.1231423095565959,0.12939392141649572,0.1277941297662285,0.1202551040423682,8,7.996104182034101,0.2723141742714244,0.2722926108583135,0.0008137809181771401,true,8,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.5,4,0.12758240994917597,0.12432869061055016,0.12655522546037562,0.12212137015134238,0.12258853953133228,0.13181062700640514,0.12831977094801564,0.11669336634280277,8,7.990408597520734,0.3440096295976322,0.3439656068921055,0.00089061005694614,true,12,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.625,5,0.14428592849260818,0.14186600059892396,0.14527277371464822,0.13513372662769374,0.14034273825204446,0.1498340416280835,0.14326478068599807,9.999999901e-9,7,6.99394527049656,0.4006923809697842,0.400676549799076,0.0010394425101545469,true,11,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.75,6,0.16840297834598963,0.16478527672525578,0.174828413744221,0.1451014831331529,0.0041616408931589915,0.17608416157072104,0.16663603558750073,9.999999900994493e-9,6,6.02686711904034,0.4467107994996919,0.44648904551471924,0.0012316008668525932,true,42,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,0.875,7,0.19541078243768742,0.19095856267716277,0.20375025281350395,9.999999900999989e-9,0.00456230291868971,0.20514855515021937,0.197230103824793,0.002939430177943791,5,5.071513141392736,0.48701292799635276,0.48688085900356226,0.0014786087816530732,true,64,Optimization terminated successfully
bernoulli_conditioned_nonempty,independent,1,8,0.24148324924863135,0.001097309327817324,0.24014480269650526,9.999999901000007e-9,0.01023094299314873,0.2580151736417563,0.24696362176358827,0.0020648903285528067,4,4.104135270137342,0.5249367117142141,0.5244545508842997,0.001803262767351223,true,113,Optimization terminated successfully
fixed_cardinality,positive_block,0.125,1,0.008816082674884077,0.008816027807824227,0.002334593227303023,0.002334587767549423,0.29792759950723546,0.2979277176400081,0.1909217717313636,0.190921619643832,4,3.990577232901384,0.000028070067919111098,-0.0000015979630249293005,0.0009765057492791313,true,18,Optimization terminated successfully
fixed_cardinality,positive_block,0.25,2,0.21964544329154034,0.04207963677381197,9.999999901e-9,0.2110810916308522,0.22007393223107433,0.044365496994106614,0.04284853413631163,0.21990585494230294,7,5.123857503042576,0.18099340403242448,0.18096910700761676,0.0009545401208642464,true,80,Optimization terminated successfully
fixed_cardinality,positive_block,0.375,3,0.04170546643919622,0.21990735981335097,9.999999895165857e-9,0.21105664035853083,0.2203522740628728,0.044824399864110374,0.21896253517606484,0.04319131428587413,7,5.127733607625656,0.2714892620070492,0.27145359692925175,0.0011145717544706797,true,23,Optimization terminated successfully
fixed_cardinality,positive_block,0.5,4,0.23814424364032102,0.02848812779341811,0.2390114076345069,0.025737782007676322,0.23449905792863154,0.003201839537860902,0.2309175314575852,9.999999901e-9,6,4.471549849090572,0.33558240154698304,0.33553662325003963,0.0012532210183848474,true,44,Optimization terminated successfully
fixed_cardinality,positive_block,0.625,5,0.24628364655551313,0.008697836965831214,0.008550588017239426,0.24883493187227287,0.2456799656508602,9.999999802000712e-9,0.24195301093828372,9.999999802000712e-9,4,4.138676661412359,0.39022288219834705,0.390165219810293,0.0014078808971263867,true,51,Optimization terminated successfully
fixed_cardinality,positive_block,0.75,6,0.0011390437214421555,0.24987082501603217,0.0013404974447935904,0.25283198960405,9.999999901000002e-9,0.24955607646866035,0.24400766999587245,0.0012538877491495121,4,4.029299631375514,0.4394727106747534,0.4394122028801931,0.0015685649955064934,true,62,Optimization terminated successfully
fixed_cardinality,positive_block,0.875,7,0.00017820943758937842,0.24981568825151293,0.2565407157017799,0.00018780875308222112,9.99999990100112e-9,0.25058631474205434,0.24269122433532622,2.8778655180618286e-8,4,4.001382630624132,0.4835972294519854,0.4835224165090735,0.0017147221826303537,true,46,Optimization terminated successfully
fixed_cardinality,positive_block,1,8,9.999999603994081e-9,0.2501850638759083,0.26153102881196383,9.999999603994081e-9,9.999999603994081e-9,0.24923887735731057,0.239044989954819,9.999999603994081e-9,4,3.9959469840700153,0.5229024386824298,0.5228204804855534,0.001853548937887952,true,43,Optimization terminated successfully
bernoulli_conditioned_nonempty,positive_block,0.125,1,0.2010674246136585,0.20106742461365834,0.19901238425844742,9.999999802000005e-9,0.19896214898486259,9.999999802000005e-9,0.19889577227724628,0.0009948252521273476,5,5.009804131439871,0.0813639600540649,0.08134639632921374,0.0008545074494971038,true,3,Optimization terminated successfully
bernoulli_conditioned_nonempty,positive_block,0.25,2,0.21936605400040965,9.999999900999287e-9,0.22789897057386113,0.03454680667849965,0.03303206748683634,0.22662451389366103,0.22543372624606894,0.033097851120663206,7,4.863375413520175,0.16936319882529743,0.16933489699720666,0.0009662845075421204,true,38,Optimization terminated successfully
