kind,n,epsilon,mean_amplitude,support_cap,candidate_count,objective,opt_upper_bound,certified_gap,runtime_seconds,passed
certified,6,0.8,0.3,2,21,0.7031098469798539,1.48051986079053,0.7774100138106762,,true
certified,6,0.7,0.0,3,152,0.5062792503184604,0.7071067811865475,0.20082753086808702,,true
scaling,32,0.8,,2,528,0.759641008304517,,,0.039860875927843153,true
scaling,64,0.8,,2,2080,0.766287866911431,,,0.1889581779250875,true
scaling,128,0.8,,2,8256,0.7696147009727283,,,0.974667432019487,true
scaling,256,0.8,,2,32896,0.7712787601296532,,,5.842028819024563,true
scaling,512,0.8,,2,131328,0.772110925032206,,,38.89837487204932,true
